"fulladdr","DETLOC","Name","Address","City","County","State","Zip","Circuit","AOR","Docket","Type","Type.Detailed","ICE.Funded","Male.Female","Levels.A.B.C.D","Capacity","Current.FY.Utilization","Population.Count","Date.of.Last.Use","Date.of.First.Use","FY18.Max.Population.Count","FY18.ADP","FY17.ADP","FY16.ADP","FY15.ADP","FY14.ADP","FY13.ADP","FY12.ADP","FY11.ADP","FY10.ADP","FY09.ADP","X2016.11.01","X2016.12.01","X2017.01.01","X2017.02.01","X2017.03.01","X2017.04.01","X2017.05.01","X2017.06.01","X2017.07.01","X2017.08.01","X2017.09.01","X2017.10.01","X2017.11.01","FY18.ALOS","FY17.ALOS","FY16.ALOS","FY15.ALOS","FY18.Facility.Bookins","FY17.Facility.Bookins","FY16.Facility.Bookins","FY15.Facility.Bookins","FY18.Initial.Bookins","FY17.Initial.Bookins","FY16.Initial.Bookins","FY15.Initial.Bookins","FY18.Initial.Bookin.ADP","FY17.Initial.Bookin.ADP","FY16.Initial.Bookin.ADP","FY15.Initial.Bookin.ADP","FY18.Non.Criminal","FY18.Criminal","FY17.Non.Criminal","FY17.Criminal","FY16.Non.Criminal","FY16.Criminal","FY15.Non.Criminal","FY15.Criminal","Level.A","Level.B","Level.C","Level.D","Male.Crim","Male.Non.Crim","Female.Crim","Female.Non.Crim","ICE.Threat.Level.1","ICE.Threat.Level.2","ICE.Threat.Level.3","No.ICE.Threat.Level","Mandatory","Non.Mandatory","Medical.Provider.Onsite.","Provider.Type","Facility.Operator","Facility.Owner","Best.Known.Contract.Initiation.Date","Best.Known.Contract.Expiration.Date","Guaranteed.Minimum","Per.Diem.Rate.Detailed","ICE.Telephone.Services","Authorization.Status","Authorizing.Authority","Over.Under.72","Contractually.Obligated.Inspection.Standard","PREA.Standard.2.11.Status","Current.Inspection.Frequency","Last.Inspection.Type","Last.Inspection.Standard","Last.Inspection.Pre.Occ.","Last.Inspection.Rating...Final","Last.Inspection.Rating...Recommended","Last.Inspection.Date","Second.to.Last.Inspection.Type","Second.to.Last.Inspection.Standard","Second.to.Last.Inspection.Pre.Occ.","Second.to.Last.Rating","Second.to.Last.Inspection.Date","Next.Inspection.Date","Next.Inspection.Standard","Next.Inspection.Type","Next.Insp.Pre.Occ.","CY17.Rating","CY16.Rating","CY15.RATING","CY14.RATING","CY13.RATING","CY12.RATING","CY11.RATING","CY10.RATING","EMDD.Notes","EMDD.USE","ACA","NCCHC","JCHCO","DSM.Assigned.","DSM.Assignment.Type","FY18.Calendar.Days.in.Use","FY18.Possible.Days","FY18...of.Days.in.Use","FY18.Total.Mandays","FY17.Calendar.Days.in.Use","FY17...of.Days.in.Use","FY17.Total.Mandays","FY17.Max.Pop.Count","street","zip","city","state","lat","lon","score","prenum","number","precision","street1","street2"
"2800 S MACGREGOR WAY HOUSTON TX 77021","HCPSYTX","HARRIS COUNTY PSYCHIATRIC CENTER","2800 S MACGREGOR WAY","HOUSTON","HARRIS","TX","77021","5","HOU","","Other","HOSPITAL","No","Female/Male","A, B, C, D","AS NEEDED","","1","04.11.2017","19.10.2016","2","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","18","10","","","1","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","NOT INSPECTED","OTHER","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","","","","No","","23","400","6.00%","297","57","16.00%","57","1","S Macgregor Way","77021","Houston","TX",29.711648,-95.377664,0.835,"","2798","street",NA,NA
"2801 JORDAN RD SW FT PAYNE AL 35968","DEKABAL","DEKALB COUNTY JAIL","2801 JORDAN RD SW","FT PAYNE","DEKALB COUNTY","AL","35968","11","NOL","","USMS IGA","USMS IGA","Yes","Female/Male","","AS NEEDED","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","","","","No","","0","400","0.00%","0","0","0.00%","0","0","Jordan St","35976",NA,NA,34.350463,-86.312056,0.512,"","1899","street",NA,NA
"2801 JORDAN ROAD FORT PAYNE AL 35968","DEKALAL","DEKALB COUNTY DETENTION CENTER","2801 JORDAN ROAD","FORT PAYNE","DEKALB","AL","35968","11","NOL","NOL","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","60","77.00%","42","04.11.2017","02.09.2008","97","46","33","22","22","34","31","42","54","44","26","28","23","26","35","35","32","39","37","37","46","42","47","41","4","4","4","4","500","2857","1971","1966","327","1966","1296","1247","367","275","219","187","19","27","10","23","3","19","2","20","9","18","15","4","23","17","4","2","9","7","11","20","20","26","YES","COUNTY","COUNTY (SHERIFF)","COUNTY","28.06.2007","","","$47.00","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Over 72","ACA and FPBDS","","Biennial","Regular","NDS","No","Acceptable","Acceptable","06.01.2017","Regular","NDS","No","Acceptable","15.01.2015","","NDS","Regular","No","Acceptable","","Acceptable","","Acceptable","Acceptable","Acceptable","Superior","","No","NO","NO","NO","No","NONE","35","400","9.00%","18526","372","102.00%","12163","79","Jordan Dr","35907",NA,NA,33.928058,-86.022294,0.577,"","1699","street",NA,NA
"2801 MEADOWLARK DRIVE SAN DIEGO CA 92123","JHALLCA","SAN DIEGO","2801 MEADOWLARK DRIVE","SAN DIEGO","SAN DIEGO","CA","92123","9","SND","SND","IGSA","JUVENILE","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","27.05.2012","26.09.1997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NO","","COUNTY","","","","","","","NOT INSPECTED","JFRMU","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Meadow Lark Dr","92123","San Diego","CA",32.793377,-117.154272,0.915,"","2801","range",NA,NA
"281 NORTH STATE STREET CONCORD NH 3301","NHSPCON","NEW HAMPSHIRE STATE PENITENTIARY (CONCORD)","281 NORTH STATE STREET","CONCORD","MERRIMACK","NH","3301","1","BOS","BOS","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","14.04.2009","16.03.1989","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY (CORRECTIONS)","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Old Concord Rd","24577","North Stanton","VA",36.926409,-79.096248,0.361,"","1001","street",NA,NA
"2830 COMMONWEALTH DR #105 CAMP VERDE AZ 86322","YAVCVAZ","YAVAPAI COUNTY DETENTION CENTER","2830 COMMONWEALTH DR #105","CAMP VERDE","YAVAPAI","AZ","86322","9","PHO","PHO","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","13.08.2017","13.10.2008","0","0","0","0","0","0","1","2","5","8","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","8","52","40","10","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","COUNTY","COUNTY (SHERIFF)","COUNTY","21.05.2001","","","$59.50","","AUTHORIZED","DMCP","Under 72","Minimum Service Standards","","Annual","ORSA","NDS","No","Acceptable","","08.09.2017","ORSA","NDS","No","Acceptable","07.07.2016","","NDS","ORSA","No","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","","Acceptable","Acceptable","2007 and 2008 DEFICIENT","Yes","NO","NO","NO","No","NONE","0","400","0.00%","0","18","5.00%","46","6","Commonwealth St","86301",NA,NA,34.584701,-112.436111,0.518,"","1798","street",NA,NA
"285 SHAKER ROAD ENFIELD CT 6082","CTROBCI","ROBINSON CORRECTIONAL INSTITUTE","285 SHAKER ROAD","ENFIELD","HARTFORD","CT","6082","2","BOS","HAR","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","18.03.2003","01.06.2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Enfield St","06082","Enfield","CT",42.017432,-72.591981,0.551,"","285","range",NA,NA
"285 T KEMP RD LOUISBURG NC 27549","FRANKNC","FRANKLIN COUNTY DETENTION CENTER","285 T KEMP RD","LOUISBURG","FRANKLIN","NC","27549","4","ATL","ATL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","15.12.2002","06.06.2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","T Kemp Rd","27549","Louisburg","NC",36.090703,-78.32025,0.949,"","285","range",NA,NA
"2862 SOUTH CIRCLE DRIVE #100 COLO. SPGS CO 80906","CODCCSP","COLO DEPARTMENT OF CORRECTIONS","2862 SOUTH CIRCLE DRIVE #100","COLO. SPGS","EL PASO","CO","80906","10","DEN","DEN","Other","Other","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","29.01.2008","22.07.2007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY (CORRECTIONS)","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","S Circle Dr","80906","Colorado Springs","CO",38.796237,-104.795312,0.771,"","2862","range",NA,NA
"2867 GENERAL ISAAC SMITH AVENUE SCOTLANDVILLE LA 70807","EBATOLA","EAST BATON ROUGE JAIL","2867 GENERAL ISAAC SMITH AVENUE","SCOTLANDVILLE","EAST BATON ROUGE","LA","70807","5","NOL","NOL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","04.03.2001","21.12.1987","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Scotland Ave","70807","Baton Rouge","LA",30.52336,-91.180731,0.5,"","8301","street",NA,NA
"287 BILTON ROAD SOMERS CT 6071","CTNRNCI","NORTHERN CORRECTIONAL INSTITUTE","287 BILTON ROAD","SOMERS","TOLLAND","CT","6071","2","BOS","HAR","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","14.03.2004","11.01.2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY (CORRECTIONS)","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Bilton Rd","06071","Somers","CT",42.028027,-72.501359,0.455,"","289","street",NA,NA
"2872 WEST JEFFERSON TRENTON MI 48183","TRENTMI","TRENTON CITY JAIL","2872 WEST JEFFERSON","TRENTON","WAYNE","MI","48183","6","DET","DET","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","30.11.1999","24.07.1995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","CITY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","W Jefferson Ave","48183","Trenton","MI",42.139834,-83.178207,0.855,"","2872","range",NA,NA
"288 WEAVERVILLE ROAD DIVIDE CO 80814","TELLECO","TELLER COUNTY JAIL","288 WEAVERVILLE ROAD","DIVIDE","TELLER","CO","80814","10","DEN","DEN","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","01.08.2017","07.10.1998","0","0","0","10","4","9","4","10","7","7","32","0","0","0","0","0","0","0","0","0","0","0","0","0","189","21","15","18","0","7","232","76","0","3","20","2","0","0","5","0","0","0","0","0","7","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","COUNTY","COUNTY (SHERIFF)","COUNTY","05.10.2000","","","$60.00","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Over 72","Minimum Service Standards","","Annual","ORSA","NDS","No","Acceptable","","08.09.2017","ORSA","NDS","No","Acceptable","01.09.2016","","NDS","ORSA","No","Acceptable","Acceptable","Acceptable","","Acceptable","","Acceptable","Superior","2009 DEFICIENT","Yes","NO","NO","NO","No","NONE","0","400","0.00%","0","38","10.00%","127","12","Weaverville Rd","80814","Divide","CO",38.942379,-105.153965,0.928,"","288","range",NA,NA
"29 SAFETY WAY UNALASKA AK 99685","DUTCHAK","UNALASKA CITY JAIL","29 SAFETY WAY","UNALASKA","ALEUTIANS WEST","AK","99685","9","SEA","SEA","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","25.01.2009","14.11.1995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","CITY","","","","","$150.00","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Superior","Acceptable","22.07.2009","Regular","NDS","No","Superior","27.06.2008","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Safety Way","99685","Unalaska","AK",53.871319,-166.541061,0.944,"","29","range",NA,NA
"2900 4TH AVE NORTH BILLINGS MT 59101","BILHOLD","BILLINGS HOLD ROOM","2900 4TH AVE NORTH","BILLINGS","YELLOWSTONE","MT","59101","9","SLC","","Other","HOLD","Yes","Female/Male","","AS NEEDED","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","3","11","6","2","3","9","4","1","6","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","","","","No","","0","400","0.00%","0","0","0.00%","0","0","4th Ave N","59101","Billings","MT",45.784022,-108.509485,0.881,"","2900","range",NA,NA
"2900 UNIVERSITY PARKWAY LAWRENCEVILLE GA 30043","GWINNGA","GWINNETT COUNTY JAIL","2900 UNIVERSITY PARKWAY","LAWRENCEVILLE","GWINNETT","GA","30043","11","ATL","ATL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","30.12.2009","08.10.2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","University Pkwy","30045",NA,NA,33.981397,-83.97527,0.805,"","2900","range",NA,NA
"2901 METRO DRIVE STE 100 BLOOMINGTON MN 55425","SPMHOLD","US INS/DETENTION & DEPORTATION","2901 METRO DRIVE STE 100","BLOOMINGTON","HENNEPIN","MN","55425","8","SPM","SPM","Other","HOLD","Yes","Male","B, C, D","AS NEEDED","","0","15.08.2017","25.07.1989","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300","2567","1679","1734","229","1171","804","779","248","176","118","105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","FEDERAL","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","113","31.00%","113","1","Metro Dr","55425","Minneapolis","MN",44.860114,-93.230838,0.693,"","2901","range",NA,NA
"2911 ARTHUR KILL ROAD STATEN ISLAND NY 10309","NYARTHC","ARTHUR KILL CORRECTIONAL FACILITY","2911 ARTHUR KILL ROAD","STATEN ISLAND","RICHMOND","NY","10309","2","NYC","VRK","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","16.04.2007","11.10.1984","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY (CORRECTIONS)","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Arthur Kill Rd","10309","Staten Island","NY",40.54789,-74.226573,0.945,"","2911","range",NA,NA
"2935 HIGHWAY 51 CANTON MS 39046","MADISMS","MADISON COUNTY","2935 HIGHWAY 51","CANTON","MADISON","MS","39046","5","NOL","NOL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","11.11.2004","09.12.1992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Good","Deficient","23.05.2008","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","US Hwy 51","39046","Canton","MS",32.585472,-90.045389,0.902,"","2935","range",NA,NA
"2939 WEST DURANGO PHOENIX AZ 85009","MCESTAZ","MARICOPA ESTRELLA - PHO","2939 WEST DURANGO","PHOENIX","MARICOPA","AZ","85009","9","PHO","PHO","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","18.07.2000","09.03.1998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","$70.00","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Superior","Deficient","13.11.2008","Regular","NDS","No","Good","06.11.2007","","N/A","N/A","No","","","","","","","","","2008 DEFICIENT","Yes","NO","YES","NO","No","","0","400","0.00%","0","0","0.00%","0","0","W Durango St","85009","Phoenix","AZ",33.429612,-112.122672,0.863,"","2939","range",NA,NA
"2960 DORY HILL ROAD GOLDEN CO 80403","GILPICO","GILPIN COUNTY SHERIFF","2960 DORY HILL ROAD","GOLDEN","JEFFERSON","CO","80403","10","DEN","DEN","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","12.05.2008","03.05.1999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Dory Hill Rd","80403","Golden","CO",39.841361,-105.483078,0.93,"","2960","range",NA,NA
"3 MASHBURN LANE MANGILAO GU 96913","DEPCOGU","DEPARTMENT OF CORRECTIONS - MANGILAO","3 MASHBURN LANE","MANGILAO","GUAM","GU","96913","9","SFR","AGA","IGSA","IGSA","Yes","Female/Male","B, C, D","AS NEEDED","","1","04.11.2017","23.01.1995","1","1","0","0","0","0","0","0","0","5","29","0","0","0","1","0","0","0","0","0","0","0","1","1","","26","","14","0","1","0","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","0","","","FEDERAL","","","","","$50.01","","USE PROHIBITED","DMCP","Over 72","","","N/A","Regular","NDS","No","Good","Good","31.03.2009","Regular","NDS","No","Good","27.05.2008","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","26","400","7.00%","297","26","7.00%","26","1",NA,"96913","Barrigada","GU",13.444257,144.786297,0.597,NA,NA,"zip",NA,NA
"3 PETER BEHR DRIVE SAN RAFAEL CA 94903","MARINCA","MARIN COUNTY","3 PETER BEHR DRIVE","SAN RAFAEL","MARIN","CA","94903","9","SFR","SFR","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","28.11.2002","29.04.1997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Peter Behr Dr","94903","San Rafael","CA",37.99687,-122.529444,0.939,"","3","range",NA,NA
"30 CORBAN AVENUE SE CONCORD NC 28025","CBRRSNC","CABARRUS COUNTY JAIL","30 CORBAN AVENUE SE","CONCORD","CABARRUS","NC","28025","4","ATL","CLT","IGSA","IGSA","Yes","Male","A, B, C, D","AS NEEDED","","0","02.11.2017","02.06.2009","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","2","2","1","2","10","58","29","20","10","58","29","20","10","8","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","SOUTHERN HEALTH PARTNERS","COUNTY (SHERIFF)","COUNTY","17.04.2009","","","$57.75","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Under 72","NDS","","Annual","ORSA","NDS","No","Acceptable","","15.09.2017","ORSA","NDS","No","Acceptable","16.09.2016","","NDS","ORSA","No","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","","Acceptable","Superior","","No","NO","NO","NO","No","NONE","7","400","2.00%","114","83","23.00%","90","3","Corban Ave SE","28025","North Concord","NC",35.40948,-80.578092,0.943,"","30","range",NA,NA
"30 LINCOLN AVENUE SAINT ALBANS VT 5478","FRACOVT","FRANKLIN COUNTY JAIL (VERMONT)","30 LINCOLN AVENUE","SAINT ALBANS","FRANKLIN","VT","5478","2","BOS","HAR","IGSA","IGSA","Yes","Male","A, B, C, D","AS NEEDED","","0","30.08.2017","30.12.1994","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","","7","2","","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","USE PROHIBITED","DMCP","Over 72","","","N/A","Regular","NDS","No","Acceptable","Not Rated","27.08.2009","Regular","NDS","No","Good","05.06.2008","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","7","2.00%","7","1","Saint Albans Ave","19073","Saint Albans","PA",39.989002,-75.399586,0.573,"","30","range",NA,NA
"30-35 HACKENSACK AVE. KEARNY NJ 7032","HUDSONJ","HUDSON COUNTY CORRECTIONAL CENTER","30-35 HACKENSACK AVE.","KEARNY","HUDSON","NJ","7032","3","NYC","VRK","IGSA","IGSA","Yes","Female/Male","A, B, C, D","476","134.00%","610","04.11.2017","14.08.1995","669","636","638","491","455","474","430","423","434","362","309","798","892","776","620","595","537","523","554","585","619","625","639","612","97","88","114","97","715","2617","1762","1496","94","289","156","198","100","82","67","66","184","453","211","428","98","393","34","420","102","52","274","209","419","168","34","16","238","109","106","184","364","273","YES","COUNTY/CFC HEALTHY SYSTEMS","COUNTY (CORRECTIONS)","COUNTY","15.04.1996","","","$110.00","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Over 72","PBNDS 2008","Standard 2.11","Annual","Regular","PBNDS 2008","No","Meets Standard","Meets Standard","12.01.2017","Regular","PBNDS 2008","No","Meets Standard","14.01.2016","","PBNDS 2008","Regular","No","Meets Standard","Meets Standard","Meets Standard","Meets Standard","Meets Standard","Meets Standard","Acceptable","Superior","","No","NO","YES","NO","Yes","PERMANENT","35","400","9.00%","254503","372","102.00%","233040","935","Hackensack Ave","07601","Hackensack","NJ",40.896618,-74.038454,0.499,"","35","range",NA,NA
"300 BRADFORD STREET REDWOOD CITY CA 94063","SMATECA","SAN MATEO CO JAIL","300 BRADFORD STREET","REDWOOD CITY","SAN MATEO","CA","94063","9","SFR","SFR","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","20.01.1998","23.11.1996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Bradford St","94063","Redwood City","CA",37.48774,-122.232357,0.944,"","300","range",NA,NA
