award_id_piid	current_total_value_of_award	potential_total_value_of_award	recipient_name	recipient_parent_name	recipient_congressional_district	primary_place_of_performance_state_name	award_type	product_or_service_code_description	naics_description	domestic_or_foreign_entity	alaskan_native_owned_corporation_or_firm	american_indian_owned_business	indian_tribe_federally_recognized	native_hawaiian_owned_business	tribally_owned_business	veteran_owned_business	service_disabled_veteran_owned_business	woman_owned_business	women_owned_small_business	economically_disadvantaged_women_owned_small_business	joint_venture_women_owned_small_business	joint_venture_economic_disadvantaged_women_owned_small_bus	minority_owned_business	subcontinent_asian_asian_indian_american_owned_business	asian_pacific_american_owned_business	black_american_owned_business	hispanic_american_owned_business	native_american_owned_business	other_minority_owned_business	financial_year
HSCEDM15P00074	28000	32000	PACER SERVICE CENTER	PACER SERVICE CENTER	20	UTAH	PURCHASE ORDER	SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEVAL	INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS	OTHER U.S. ENTITY (E.G. GOVERNMENT)	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS13P00036	28000	28000	"TECOLOTE RESEARCH, INC."	TECOLOTE RESEARCH INC.	24	DISTRICT OF COLUMBIA	PURCHASE ORDER	INFORMATION TECHNOLOGY SOFTWARE	SOFTWARE PUBLISHERS	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
70CMSW18P00000012	28052	28052	"HELGEN INDUSTRIES, INC."	HELGEN INDUSTRIES INC	2	NEW YORK	PURCHASE ORDER	"TACTICAL SETS, KITS, AND OUTFITS"	"SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING"	U.S. OWNED BUSINESS	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMD17P00116	28112.6	40278.25	"PEN-LINK, LTD."	PEN-LINK  LTD.	1	CALIFORNIA	PURCHASE ORDER	INFORMATION TECHNOLOGY SOFTWARE	SOFTWARE PUBLISHERS	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE17J00555	28123.62	28123.62	"PANAMERICA COMPUTERS, INC."	PANAMERICA COMPUTERS INC.	7	DISTRICT OF COLUMBIA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	t	f	f	t	f	f	f	t	f	f	2018
HSCETE17J00555	28123.62	28123.62	"PANAMERICA COMPUTERS, INC."	PANAMERICA COMPUTERS  INC.	7	DISTRICT OF COLUMBIA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	t	f	f	t	f	f	f	t	f	f	2017
HSCETE14J00230	28359.4	28359.4	GOVPLACE	GOVPLACE	11	VIRGINIA	BPA CALL	INFORMATION TECHNOLOGY COMPONENTS	COMPUTER AND SOFTWARE STORES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE14J00230	28359.4	28359.4	GOVPLACE	GOVPLACE	11	VIRGINIA	BPA CALL	ADP COMPONENTS	COMPUTER AND SOFTWARE STORES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2014
HSCETE14J00098	28393.5	28393.5	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	4	MARYLAND	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE14J00098	28393.5	28393.5	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	MARYLAND	BPA CALL	ADP SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2014
HSCEDM15P00005	28406.2	36487.53	UNIFIRST CORPORATION	UNIFIRST CORPORATION	35	TEXAS	PURCHASE ORDER	"LEASE OR RENTAL OF EQUIPMENT- CLOTHING, INDIVIDUAL EQUIPMENT, AND INSIGNIA"	INDUSTRIAL LAUNDERERS	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS17J00059	28472.61	28472.61	VISTA OUTDOOR SALES LLC	VISTA OUTDOOR SALES LLC	6	MINNESOTA	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	SMALL ARMS AMMUNITION MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS17J00059	28472.61	28472.61	VISTA OUTDOOR SALES LLC	VISTA OUTDOOR SALES LLC	6	MINNESOTA	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	SMALL ARMS AMMUNITION MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEMD17P00060	28500	28500	MATT BURNS LTD	MATT BURNS LTD			PURCHASE ORDER	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	SOFTWARE PUBLISHERS	FOREIGN-OWNED BUSINESS NOT INCORPORATED IN THE U.S.	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMD17P00060	28500	28500	MATT BURNS LTD	MATT BURNS LTD			PURCHASE ORDER	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	SOFTWARE PUBLISHERS	FOREIGN-OWNED BUSINESS NOT INCORPORATED IN THE U.S.	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE16J00401	28510	28510	NEW TECH SOLUTIONS INC	NEW TECH SOLUTIONS  INC.	17	CALIFORNIA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	t	t	f	f	f	f	f	2016
HSCEMD17J00145	28562.5	28562.5	BLUE TECH INC.	BLUE TECH INC.	52	CALIFORNIA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	t	f	f	t	f	f	f	f	f	t	2018
HSCEMD17J00145	28562.5	28562.5	BLUE TECH INC.	BLUE TECH INC.	52	CALIFORNIA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	t	f	f	t	f	f	f	f	f	t	2017
HSCETE17J00371	28591	28591	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	4	TEXAS	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETC15J00077	28595.29	28595.29	"VENTURE NETCOMM, INC."	VENTURE NETCOMM INC.	7	WASHINGTON	DELIVERY ORDER	INSTALLATION OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT	ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCETC15J00077	28595.29	28595.29	"VENTURE NETCOMM, INC."	VENTURE NETCOMM  INC.	7	WASHINGTON	DELIVERY ORDER	INSTALLATION OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT	ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2015
HSCEMD17J00024	28636.3	28636.3	"GOVERNMENT ACQUISITIONS, INC."	GOVERNMENT ACQUISITIONS INC.	1	OHIO	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	t	f	t	f	f	f	f	2018
HSCEMD17J00024	28636.3	28636.3	"GOVERNMENT ACQUISITIONS, INC."	GOVERNMENT ACQUISITIONS  INC.	1	OHIO	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	t	f	t	f	f	f	f	2017
HSCEMD15F00059	28667.2	34067.2	"RICOH USA, INC."	RICOH COMPANY LTD.	6	TEXAS	DELIVERY ORDER	MAINT/REPAIR/REBUILD OF EQUIPMENT- OFFICE MACHINES/TEXT PROCESSING SYS/VISIBLE RECORD EQUIPMENT	PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCETC16F00017	28713.88	28713.88	"AVAYA FEDERAL SOLUTIONS, INC."	SIERRA HOLDINGS CORP.	11	VIRGINIA	DELIVERY ORDER	INSTALLATION OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT	COMPUTER FACILITIES MANAGEMENT SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2016
HSCEOP07F01361	28782	28782	WHITAKER BROTHERS BUSINESS MACHINES INC	WHITAKER BROTHERS BUSINESS MACHINES  INC	8	MARYLAND	DELIVERY ORDER	MISCELLANEOUS OFFICE MACHINES	CARBON PAPER AND INKED RIBBON MANUFACTURING		f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEMD17F00053	28802	69968	"RICOH USA, INC."	RICOH COMPANY LTD.	6	PENNSYLVANIA	DELIVERY ORDER	MAINT/REPAIR/REBUILD OF EQUIPMENT- OFFICE MACHINES/TEXT PROCESSING SYS/VISIBLE RECORD EQUIPMENT	PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCETE17J00202	28854	28854	DELL FEDERAL SYSTEMS L.P.	DENALI HOLDING INC	31	TEXAS	BPA CALL	INFORMATION TECHNOLOGY SOFTWARE	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEDM17F00073	28975	28975	"GALLS, INC"	"GALLS, LLC."	6	PENNSYLVANIA	DELIVERY ORDER	"ARMOR, PERSONAL"	ALL OTHER LEATHER GOOD MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
70CMSW18FR0000047	28991.32	28991.32	"HERGO, ERGONOMIC SUPPORT SYSTEMS, INC."	HERGO ERGONOMIC SUPPORT SYSTEMS INC	12	NEW YORK	DELIVERY ORDER	OFFICE FURNITURE	OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMD17P00087	29000	72500	MYSTAIRE INC.	MYSTAIRE INC.	2	VIRGINIA	PURCHASE ORDER	MAINT/REPAIR/REBUILD OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT	"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES"	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS17J00178	29080.54	29080.54	PRICE MODERN LLC	PRICE MODERN LLC	7	MARYLAND	BPA CALL	OFFICE FURNITURE	WOOD OFFICE FURNITURE MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEDM17P00108	29101.74	29101.74	PHOENIX TRADING INC.	PHOENIX TRADING INC.	1	WASHINGTON	PURCHASE ORDER	"TOILET SOAP, SHAVING PREPARATIONS, AND DENTIFRICES"	DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	t	f	t	f	f	f	f	2017
HSCETE16J00332	29130	29130	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	MARYLAND	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2016
HSCETE16J00105	29200	29200	NEW TECH SOLUTIONS INC	NEW TECH SOLUTIONS  INC.	17	CALIFORNIA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	t	t	f	f	f	f	f	2016
HSCETE16J00265	29220	29220	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	NORTH CAROLINA	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2016
HSCETE17J00129	29224.95	29224.95	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	4	NEW JERSEY	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEDM17P00006	29232	76451.52	C & M TRUCK & TIRE REPAIR CORP	C & M TRUCK & TIRE REPAIR CORP	11	NEW YORK	PURCHASE ORDER	LEASE/RENTAL OF OTHER INDUSTRIAL BUILDINGS	PARKING LOTS AND GARAGES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS16J00041	29310.89	29310.89	AMMUNITION ACCESSORIES INC.	ALLIANT TECHSYSTEMS INC.	1	PENNSYLVANIA	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	SMALL ARMS AMMUNITION MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2016
HSCECR12F00023	29326.54	29326.54	"RICOH USA, INC."	RICOH COMPANY LTD.	6	KENTUCKY	DELIVERY ORDER	"LEASE OR RENTAL OF EQUIPMENT- OFFICE MACHINES, TEXT PROCESSING SYSTEMS, AND VISIBLE RECORD EQUIPMENT"	PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE15J00437	29344	29344	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	PENNSYLVANIA	BPA CALL	"ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), DIGITAL"	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE15J00126	29417.1	29417.1	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	TEXAS	BPA CALL	ADP SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE17F00013	29470.56	176823.36	JUSTICETRAX INC.	JUSTICETRAX INC.	6	VIRGINIA	DELIVERY ORDER	INFORMATION TECHNOLOGY SOFTWARE	SOFTWARE PUBLISHERS		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
70CTD018FR0000069	29494.03	29494.03	"AVAYA FEDERAL SOLUTIONS, INC."	SIERRA HOLDINGS CORP.	11	OKLAHOMA	DELIVERY ORDER	TELEPHONE AND TELEGRAPH EQUIPMENT	COMPUTER FACILITIES MANAGEMENT SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS16P00042	29500	29500	WEBSEDGE LTD	WEBSEDGE LTD			PURCHASE ORDER	PHOTO/MAP/PRINT/PUBLICATION- FILM/VIDEO TAPE PRODUCTION	MEDIA REPRESENTATIVES	FOREIGN-OWNED BUSINESS INCORPORATED IN THE U.S.	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS16P00042	29500	29500	WEBSEDGE LTD	WEBSEDGE LTD			PURCHASE ORDER	PHOTO/MAP/PRINT/PUBLICATION- FILM/VIDEO TAPE PRODUCTION	MEDIA REPRESENTATIVES	FOREIGN-OWNED BUSINESS INCORPORATED IN THE U.S.	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2016
HSCETE17F00044	29553.88	29553.88	"AVAYA FEDERAL SOLUTIONS, INC."	SIERRA HOLDINGS CORP.	11	OKLAHOMA	DELIVERY ORDER	TELEPHONE AND TELEGRAPH EQUIPMENT	COMPUTER FACILITIES MANAGEMENT SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE17P00022	29567.8	55286.2	"PHONOSCOPE, INC."	PHONOSCOPE  INC.	9	TEXAS	PURCHASE ORDER	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE17J00404	29594.77	29594.77	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	4	DISTRICT OF COLUMBIA	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEMS17F00060	29639.61	29639.61	"BOTTOM LINE MILITARY SALES, LLC"	BOTTOM LINE MILITARY SALES LLC	3	SOUTH CAROLINA	DELIVERY ORDER	"ARMOR, PERSONAL"	ALL OTHER LEATHER GOOD AND ALLIED PRODUCT MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	t	t	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS17F00060	29639.61	29639.61	"BOTTOM LINE MILITARY SALES, LLC"	BOTTOM LINE MILITARY SALES  LLC	3	SOUTH CAROLINA	DELIVERY ORDER	"ARMOR, PERSONAL"	ALL OTHER LEATHER GOOD AND ALLIED PRODUCT MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	t	t	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEMR15F00032	29643.64	29643.64	"HAWORTH, INC"	HAWORTH INTERNATIONAL LTD.	2	NEW YORK	DELIVERY ORDER	OFFICE FURNITURE	OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMR15F00032	29643.64	29643.64	"HAWORTH, INC"	HAWORTH INTERNATIONAL  LTD.	2	NEW YORK	DELIVERY ORDER	OFFICE FURNITURE	OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2015
HSCEDM15P00053	29648	39392	UTAH COMMUNICATIONS AUTHORITY	UTAH COMMUNICATION AGENCY NETWORK	2	UTAH	PURCHASE ORDER	COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS	COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE	OTHER U.S. ENTITY (E.G. GOVERNMENT)	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEDM16P00122	29664	74160	B & K TECHNOLOGY SOLUTIONS INC	B & K TECHNOLOGY SOLUTIONS INC	16	TEXAS	PURCHASE ORDER	SUPPORT- ADMINISTRATIVE: COURIER/MESSENGER	COURIERS AND EXPRESS DELIVERY SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEDM16P00005	29729.6	29729.6	FEDERAL PRISON INDUSTRIES INC	GOVERNMENT OF THE UNITED STATES	6	KENTUCKY	PURCHASE ORDER	"UNDERWEAR AND NIGHTWEAR, MEN'S"	MEN'S AND BOYS' CUT AND SEW APPAREL MANUFACTURING	OTHER U.S. ENTITY (E.G. GOVERNMENT)	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2016
HSCETE15F00088	29757.72	29757.72	DELL FEDERAL SYSTEMS L.P.	DENALI HOLDING INC	31	TEXAS	BPA CALL	ADP SOFTWARE	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2015
70CMSW18FR0000032	29867.52	29867.52	"VF IMAGEWEAR, INC."	V. F. CORPORATION	5	TENNESSEE	DELIVERY ORDER	"OUTERWEAR, MEN'S"	APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
70CIT018P00000001	29876	29876	"GO TO GROUP, INC, THE"	GO TO GROUP INC THE	1	DISTRICT OF COLUMBIA	PURCHASE ORDER	INFORMATION TECHNOLOGY SOFTWARE	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMR16P00010	29877.12	49795.2	"C2G, LTD CO."	C2G LTD CO.	1	HAWAII	PURCHASE ORDER	SUPPORT- ADMINISTRATIVE: COURIER/MESSENGER	LOCAL MESSENGERS AND LOCAL DELIVERY	U.S. OWNED BUSINESS	f	f	f	f	f	t	t	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEDM14P00055	29882.61	34862.61	NEW LIFE CHINESE LAUNDRY INC	NEW LIFE CHINESE LAUNDRY INC		CALIFORNIA	PURCHASE ORDER	HOUSEKEEPING- LAUNDRY/DRYCLEANING	DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED)	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	t	f	t	f	f	f	f	2015
70CTD018FR0000137	29899.07	29899.07	"AVAYA FEDERAL SOLUTIONS, INC."	SIERRA HOLDINGS CORP.	11	VIRGINIA	DELIVERY ORDER	TELEPHONE AND TELEGRAPH EQUIPMENT	COMPUTER FACILITIES MANAGEMENT SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMD17P00096	29940	29940	CHAINALYSIS INC.	CHAINALYSIS INC.	18	CALIFORNIA	PURCHASE ORDER	INFORMATION TECHNOLOGY SOFTWARE	SOFTWARE PUBLISHERS	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE15J00371	29991.66	29991.66	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	TEXAS	BPA CALL	ADP SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE16J00292	29995.55	29995.55	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	NORTH CAROLINA	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2016
HSCEMD17P00120	29999.84	29999.84	SAUL MINEROFF ELECTRONICS INC.	SAUL MINEROFF ELECTRONICS INC.	5	VIRGINIA	PURCHASE ORDER	VIDEO RECORDING AND REPRODUCING EQUIPMENT	AUDIO AND VIDEO EQUIPMENT MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEMS08J00067	30043.94	30043.94	ST NET APPTIS FIRSTSOURCE JOINT VENTURE	ST NET-APPTIS FIRSTSOURCE JOINT VENTURE	10	DISTRICT OF COLUMBIA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER ELECTRONIC PARTS AND EQUIPMENT MERCHANT WHOLESALERS		f	f	f	f	f	f	f	t	f	f	f	f	t	t	f	f	f	f	f	2018
HSCETE17J00497	30122.07	30122.07	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS LLC	4	DISTRICT OF COLUMBIA	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2018
HSCETE17J00497	30122.07	30122.07	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	4	DISTRICT OF COLUMBIA	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEMD15F00143	30240	30240	"RICOH USA, INC."	RICOH COMPANY LTD.	6	PENNSYLVANIA	DELIVERY ORDER	MAINT/REPAIR/REBUILD OF EQUIPMENT- OFFICE MACHINES/TEXT PROCESSING SYS/VISIBLE RECORD EQUIPMENT	PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS16J00082	30250.97	30250.97	VISTA OUTDOOR SALES LLC	VISTA OUTDOOR SALES LLC	6	MINNESOTA	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	SMALL ARMS AMMUNITION MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS16J00082	30250.97	30250.97	VISTA OUTDOOR SALES LLC	VISTA OUTDOOR SALES LLC	6	MINNESOTA	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	SMALL ARMS AMMUNITION MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2016
HSCEDM17P00094	30485.06	30485.06	X BRAND MATTRESS LLC	X BRAND MATTRESS LLC	7	TEXAS	PURCHASE ORDER	INDIVIDUAL EQUIPMENT	APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
