,3yo or older Source,Recent Source,"Type (Current Crisis, General)",Latitude,Longitude,Name,City,State,Country,Address,MachineMatchAddress,Phone,Email,Twitter,Website,Owner_Type,Owner_Contact,Sources,Notes,
Founded in 2011,2001-06-06 El Universal – Incrementan presencia del grupo Beta en frontera sur,2017-11-14 Televisa Veracruz – Mueren dos migrantes tras ataque de grupo armado,General Crisis,16.7662448,-93.1289974,Grupo Beta Tuxtla Gutiérrez,Tuxtla Gutiérrez,Chiapas,México,"5ta. Avenida Norte y 13 Poniente No. 1402, Col. El Magueyito, C. P. 29000, Tuxtla Gutiérrez, Chiapas","5ta, Calle 13a Pte. Nte. 1402, Pedregal, 29030 Tuxtla Gutiérrez, Chis., Mexico",(961) 602 6111,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 2011,2009-11-24 Info 7 – Abrirán oficina de Grupo Betas en Oaxaca,"2018-07-12 El Piñero de la Cuenca – Repatria a joven indocumentado, accidentado en Tehuantepec",General Crisis,16.5463678,-95.0816868,Grupo Beta Ixtepec,Ixtepec,Oaxaca,México,"Carretera Ixtepec - Juchitán Km. 1.5 s/n C. P. 70110 Cd. Ixtepec, Oaxaca","Ixtepec, Benito Juárez, 70110 Ixtepec, Oax., Mexico",(971) 713 3047,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
,2015-08-18 La Jornada – Cambia de instalaciones la Comisión Estatal de Derechos Humanos,2018-08-02 Frontera Info – Emite CNDH recomendación al IMSS,General Crisis,32.521896,-117.01437,Comision Nacional de los Derechos Humanos,Tijuana,Baja California,Mexico,"Avenue. Diego Rivera No. 2532, Zona Río Tijuana",,(664) 973-2374,informacion@derechoshumanosbc.org,,http://www.derechoshumanosbc.org/content/contacto,,,,,
Founded in 2015,2016-12-29 The San Diego Union - Tribune –Madres y Familias Deportadas en acción,2017-04-05 Excelsior – Migrantes huyen del crimen y van a Tijuana para pedir asilo en EU,Current Crisis,32.539342,-117.030971,Madres y familias deportadas en acción,Tijuana,Baja California,Mexico,"Via de la Juventud Ote 8800, Defensores de Baja California, 22020 Tijuana, B.C., Mexico",,52 664 976 7541,madresdeportadasenaccion@gmail.com,,https://madresdeportadas.wixsite.com/enaccion,,María Galleta,,,
Founded in 1991,2010-03-27 Eco Portal – El Frente Indigena de Organizaciones Binacionales y la migración oaxaqueña,2018-04-14 La Jornada – Migración creativa: El FIOB visibiliza a los indígenas en EU,General Crisis,36.753243,-119.789061,Frente Indigena de Organizaciones Binacionales,Fresno,California,United States,"744 N. Abby Street, Fresno, CA 93701 ",,(559) 512-0797 ,fresno@fiob.org,,,,"Luis Lopez Resendiz, Odilia Romero",,,
Founded in 1991,2013-12-04 Latino California – Nueva dirigencia del FIOB en California ,2018-06-26 Santa Maria Times – Se necesitan intérpretes para indígenas en frontera de EU,General Crisis,34.952973,-120.43778,Frente Indigena de Organizaciones Binacionales,Santa Maria,California,United States,"204 W. Main Street, Suite B Santa Maria, CA 93458 ",,(805) 925-5262 ,santamaria@fiob.org,,,,,,,
Founded in 1978,2014-06-09 ICE Asks Shelters in El Paso to House Undocumented Immigrants,2018-07-11 Three Immigrant Families Reunited at Annunciation House in El Paso,"General Crisis, Current Crisis",31.76008453,-106.4796003,Annunciation House,El Paso,Texas,United States,"1003 East San Antonio Ave, El Paso, TX 79901",,(915) 545-4509,volunteercoordinator@annunciationhouse.org; legalcoordinator@annunciationhouse.org,https://twitter.com/AHouseElPaso,https://annunciationhouse.org/,CLINIC,Ruben Garcia,,,
Founded in 1997,2012-11-15 Study: Conditions at Texas Immigrant Detention Facilities Inhumane,2018-06-29 Companies earn billions to shelter immigrant children,General Crisis,38.918327,-77.032923,Detention Watch Network,Washington D.C.,Washington D.C.,United States,"1419 V Street NW, Washington, DC 20009",,,campaign@detentionwatchnetwork.org,https://twitter.com/detentionwatch,https://www.detentionwatchnetwork.org/,CLINIC,Silky Shah,,,
Formerly Community Initiatives for Visiting Immigrants in Confinement (CIVIC),2014-07-08 Expansion of Adelanto immigrant detention center underway,2018-06-26 Report Documents Increase in Hate Incidents in Immigration Detention in First National Study,General Crisis,33.934431,-118.190043,Freedom for Immigrants (CIVIC),Lynwood,California,United States,"10701 Sampson Ave, Lynwood, CA 90262",,(385) 212-4842,LMartinez@freedomforimmigrants.org,https://twitter.com/migrantfreedom,https://www.freedomforimmigrants.org/,CLINIC,Christina Fialho,,,
Founded in 2010,2013-11-27 Groups Protest to Close Georgia Detention Center,2017-06-01 El Refugio provides comfort to visitors of immigrant detainees,General Crisis,32.05025,-84.788236,El Refugio,Lumpkin,Georgia,United States,"655 Main Street, Lumpkin, GA 31815 ",,(229) 234-9022,info@elrefugioministry.org,,http://elrefugiostewart.org/,,Amilcar Valencia,,,
Founded in 2003,2003-09-02 UNLV legal clinic to aid immigrants,"2018-07-03 Unaccompanied and unrepresented, children deported from Las Vegas",General Crisis,36.105878,-115.137958,UNLV Immigration Clinic,Las Vegas,Nevada,United States,4505 S. Maryland Parkway,,(702) 895-2080,,@UNLVImmigration,https://law.unlv.edu/clinics/immigration,CLINIC,Michael Kagan,,,
Founded in 1917,"2012-12-05 ACLU, American Friends Service Committee Demand Investigation into Unlawful Targeting of Latino Drivers by CHP",2018-01-08 How a U.S. Quaker Group That Won the Nobel Peace Prize Ended Up on Israel's BDS Blacklist ,General Crisis,39.955938,-75.165168,American Friends Service Committee,Philadelphia,Pennsylvania,United States,"1501 Cherry Street, Philadelphia, PA 19102",,(215)241-7000,,@afsc_org,https://www.afsc.org/key-issues/issue/immigrant-rights,,,,,
,2015-11-05 CATHOLIC CHARITIES RECEIVES CATHOLIC LEGAL IMMIGRATION NETWORK (CLINIC) FUNDING,2018-06-01 Immigrant kids at border present and accounted for — and number growing,Current Crisis,38.998541,-77.030046,Catholic Legal Immigration Network Inc.,Silver Spring,Maryland,United States,"8757 Georgia Avenue, Suite 850, Silver Spring, MD 20910",,(301)565-4800,,@cliniclegal,https://cliniclegal.org/,,,,,
Founded in 1911,2014-08-08 Trauma Plagues Many Immigrant Kids In U.S. Illegally,https://www.timesunion.com/local/article/Grant-allows-USCRI-to-aid-Capital-Region-senior-12547606.php,Current Crisis,38.853506,-77.048772,U.S. Committee for Refugees and Immigrants,Washington,DC,United States,"2231 Crystal Drive, Suite 350, Arlington, VA 22202-3794",,(703)310-1130,uscri@uscridc.org,@USCRIdc,http://refugees.org/,,,,,
,https://www.unitedmethodistwomen.org/news/wola-thanks-united-methodist-women,2018-07-09 In-Studio: WOLA Execs Bring “Beyond The Wall” Campaign To Santa Fe,General Crisis,38.912329,-77.045471,Advocacy for Human Rights in the Americas,Washinton,DC,United States,"1666 Connecticut Ave. NW, Suite 400",,(202) 797-2171,,@WOLA_org,https://www.wola.org/about-us/,,,,,
MS couldn't find anything newer than 2014,1998-09-01 Activists in Action,,,26.219047,-98.225408,Border Association for Refugees from Central America,McAllen,Texas,United States,"1701 North 8th, B.30, McAllen, TX 78501",,(956)631-7447,rgvbarca@aol.com,,,,,,,
,2011-08-29 Proyecto Libertad: 30 years making history,2018-07-15 Immigration advocate undaunted by Trump policies,Current Crisis,26.193483,-97.695798,Casa de Proyecto Libertad,Harlingen,Texas,United States,"113 N. 1st St., Harlingen, Texas 78550",,(956)425-9552,nrogelio@hushmail.com,,https://www.facebook.com/Casa-de-Proyecto-Libertad-207664685918512/,,,,,
Dallas office opened in 2016,,"2018-06-19 Nonprofits, consulates in Texas aggressively seeking ways to assist separated families",Current Crisis,32.782643,-96.795458,RAICES,Dallas,Texas,United States,"1910 Pacific Ave, Suite 5045, Dallas, TX 75201",,(214) 295-9554,felix.villalobos@raicestexas.org,https://twitter.com/RAICESTEXAS,https://www.raicestexas.org/,,,,,
,,2018-07-06 Want to help reunite immigrant families? Donate to legal defense funds.,Current Crisis,32.684959,-97.32208,RAICES,Fort Worth,Texas,United States,"4200 South Freeway, Suite 702, Fort Worth, TX 76115",,(817) 717-9377,jennifer.deharo@raicestexas.org,https://twitter.com/RAICESTEXAS,https://www.raicestexas.org/,,,,,
"No individual news items for RAICES north location, but it is reliably cited on the organization's web page",,,Current Crisis,29.524067,-98.388032,RAICES North,San Antonio,Texas,United States,"5121 Crestway Drive, #105, San Antonio, TX 78239",,(210) 226-7722,mayra.jimenez@raicestexas.org,https://twitter.com/RAICESTEXAS,https://www.raicestexas.org/,,,,,
,,2018-04-25 Know Your Rights training keeps immigrants safe with police  0,Current Crisis,29.445785,-98.522885,RAICES Community Education Center,San Antonio,Texas,United States,"802 Kentucky Ave, San Antonio, TX 78201",,,jenny.hixon@raicestexas.org,,,,,,,
,,"2018-04-05 Who's Pueblo Sin Fronteras, the group behind the migrant caravan that drew Trump's ire?",Current Crisis,,,Pueblo Sin Fronteras,,,"Central America, Mexico, United States",,,,,https://twitter.com/pueblosf,http://www.pueblosinfronteras.org/,,Alex Mensing,,,
,,2018-06-20 Together Rising raises $3 Million to reunite immigrant families,,38.888493,-77.180496,Together Rising,Falls Church,Virginia,United States,"800 West Broad Street #6409, Falls Church, VA 22040",,,contact@togetherrising.org,https://twitter.com/togetherrising,https://togetherrising.org/,,,,,
"CLINIC and Al Otro Lado have created a closed Facebook group called Familias Inmigrantes Separadas por El Gobierno Estadounidense. Members of the group will have easy access to legal orientation in Spanish, as well as a support group among the parents.",,2018-04-29 Migrant Caravan Nears U.S. Border,Current Crisis,34.059441,-118.208839,Al Otro Lado,Los Angeles,Tijuana,Mexico,"1200 N State St #1008, Los Angeles, CA 90033",,,,https://twitter.com/alotrolado_org,https://alotrolado.org/,,Nicole Ramos,,,
founded May 2015,,2018-06-2018 Yale law alums providing legal aid to asylum seekers,Current Crisis,40.70861,-74.014804,Asylum Seeker Advocacy Project,New York,New York,United States,"40 Rector Street, 9th Floor, New York, NY 10006",,,,https://twitter.com/asylumadvocacy,https://asylumadvocacy.org/,,,,,
Multiple locations (https://www.theyoungcenter.org/contact),,,,26.199648,-97.677966,Young Center for Immigrants Children Rights,Harlingen,Texas,United States,"806 Morgan Blvd Suite K, Harlingen, TX 78550",,(956) 230-1850,,https://twitter.com/TheYoungCenter,https://www.theyoungcenter.org/,,,,,
,,2018-06-18 Immigrant groups say policy affecting asylum seekers,,31.760908,-106.479999,Detained Migrant Solidarity Committee,El Paso,Texas,"United States, Mexico","816 Magoffin Ave. El Paso, TX 79901",,(915) 229-6086,,https://twitter.com/dmscelpaso,https://dmscelpaso.wixsite.com/dmscelpaso/blog/author/Rev.-Robert-Mosher,,,,,
,,"2018-06-25 Quoting Trump’s Tweets, A Federal Judge Orders ICE and Prison Officials To Follow the Law And Provide Immigration Detainees Access to Lawyers",Current Crisis,45.502418,-122.656443,Innovation Law Lab,Portland,Oregon,United States,"P.O. Box 40103, Portland, Oregon 97240",,,,https://twitter.com/iawlab?lang=en,https://innovationlawlab.org/,,,,,
Founded in 2014,,2015-04-18 New Houston Area Project To Offer Legal Defense For Immigrants Facing Deportation,Current Crisis,29.7076758,-95.2792499,Justice for Our Neighbors,Houston,Texas,United States,"2220 Broadway, Houston, TX 77012",,(713) 454-6470,,https://twitter.com/jfon_tx,http://jfonhouston.org/,,,,,
,,2015-06-20 How to Help Families Separated at the Border,Current Crisis,30.2705902,-97.742339,The Austin Bar Association Civil Right and Immigration Section,Austin,Texas,United States,"816 Congress Ave., Ste. 700, Austin, TX 78701",,(512) 472-0279,,http://www.twitter.com/theaustinbar,http://www.austinbar.org/for-attorneys/sections/civil-rights-immigration-section/,,,,,
,,"2018-06-27 COMMUNITY FORUM: UNDERSTANDING IMMIGRATION, FAMILY SEPARATION AND ZERO TOLERANCE",Current Crisis,33.7505559,-84.4002539,Tahirih Justice Center,Atlanta,Georgia,United States,"142 Walker Street SW, Atlanta, GA 30301",,(470) 481-4700,,https://twitter.com/tahirihjustice,http://www.tahirih.org/location/atlanta/,,,,,
,,"2017-06-15 California lacks minimum marriage age, puts children in danger",General Crisis,37.63574445,-122.4228346,Tahirih Justice Center,San Bruno,California,United States,"881 Sneath Lane, Suite 115, San Bruno, CA 94066",,(650) 270-2100,,https://twitter.com/tahirihjustice,http://www.tahirih.org/locations/san-francisco-bay-area/,,,,,
Works together with Detained Migrant Solidarity Committee,,2018-04-26 EL PASO ACTIVIST GROUP RAISES MONEY TO PAY DETAINEES’ BAIL,Current Crisis,31.760908,-106.479999,Fronterizo Fianza Fund,El Paso,Texas,United States,"816 Magoffin Ave. El Paso, TX 79901",,(915) 229-6086,,,https://www.fianzafund.org/,,https://www.fianzafund.org/donate.html,,,
,,2017-10-31 WC THE FIRST MIDWEST CAMPUS TO PASS A REFUGEE SUPPORT RESOLUTION,General Crisis,41.882311,-87.632022,Amnesty International - Midwest Regional Office,Chicago,Illinois,United States,"One North LaSalle Street, Suite, 875, Chicago, IL 60602",,,,,,,,,,
,,https://www.amnestyusa.org/take-action/events/2018-regional-conferences/amnesty-international-2018-western-regional-conference-denver-colorado/,General Crisis,37.805754,-122.268202,Amnesty International - Western Regional Office,Oakland,California,United States,"1624 Franklin Street, Suite 520, Oakland, CA 94612",,,,,,,,,,
Their website provides a map with border and mexican organizations,,,,47.602296,-122.315293,Supervivencia Después de la Detención / Surviving Post-Release,Ciudades Fronterizas,Estados Fronterizos,Mexico,,,,"aejasso@uw.edu, aks34@uw.edu
",,http://es.survivingpostrelease.org/,Personal Organization,Amanda Jasso & Anna Shelton,,No formal location,Resource aggregator
,,2017-03-11 Qué hacer si uno es deportado a Tijuana,General Crisis,32.6645023,-115.4962097,Módulo de Atención Centro de Apoyo al Trabajador Migrante y Albergue del Desierto,Mexicali,Baja California,México,"Garita #1 Mexicali-Calexico, Mexicali, Baja California, Modulo #2",,(686)5534882,alberguedes@prodigy.net.mx,,,,"Arturo Meza, Mireya Félix",,,
,,2018-07-16 Organizaciones de la Sociedad Civil de derechos humanos en México,General Crisis,32.6608534,-115.4784239,Centro de Apoyo al Trabajador Migrante: Comité de Promoción para el Desarrollo de Mexicali,Mexicali,Baja California,México,"Calle Jabonera #6, Colonia Nueva, Mexicali, Baja California 21100",,(686) 553482,"mezaoro@prodigy.net.mx, catm@telnor.net",,,,Arturo Meza,,,
,,"2018-05-02 Abren centro para migrantes en Agua Prieta, Sonora ",Current Crisis,31.3282456,-109.5605187,Centro de Recursos para Migrantes Módulo de Atención (CRM),Agua Prieta,Sonora,México,"Calle 1ra. Av. Panamericana S/N, Agua Prieta, Sonora C.P. 84200",,(633) 1219298,beto.gutierritos@yahoo.com.mx,,,,Adalberto Ramos,,,
,,"2018-05-02 Abren centro para migrantes en Agua Prieta, Sonora ",Current Crisis,31.3282456,-109.5605187,Centro de Recursos para Migrantes Módulo de Atención (CRM),Agua Prieta,Sonora,México,"Calle 1ra. Av. Panamericana S/N, Agua Prieta, Sonora C.P. 84200",,(633) 1219298,beto.gutierritos@yahoo.com.mx,,,,Adalberto Ramos,,,
Founded in 1990,,,General Crisis,,,Grupo Beta Tijuana,Tijuana,Baja California,México,"Vía Internacional 34, Federal, 22010 Tijuana, B.C.",,"(664) 682-3171, (664) 683-3068",,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,Google Maps,Phone number listed on official government website. Address information from Google Maps only.,
Founded in 1995,,,General Crisis,32.5698638,-116.6479655,Grupo Beta Tecate,Tecate,Baja California,México,"Calle 18 esq. con Tanama s/n, Col. Bella vista, C.P. 21440 Tecate, B. C","Bellavista, 21440 Tecate, B.C., Mexico","(665) 654-2449, (665) 654-3780",,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 1997,,,General Crisis,32.6245389,-115.4522623,Grupo Beta Mexicali,Mexicali,Baja California,México,"Av. Melgar No. 1, Garita Internacional, Zona Centro, C. P. 21100, Mexicali, B. C.","Mexicali, Baja California, Mexico","(686) 554-2624, (686) 552-5596",,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 2004,,,General Crisis,32.4672204,-114.7410067,Grupo Beta San Luis de Rio Colorado,San Luis Río Colorado,Sonora,México,"Av. Ignacio Zaragoza No. 2708 entre 27 y 28, Col. Burócratas C. P. 83450, San Luis Río Colorado, Sonora","Burócrata, 83450 San Luis Río Colorado, Son., Mexico",(653) 534 5062,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
,,,General Crisis,31.8619816,-116.6161364,Comision Nacional de los Derechos Humanos,Cove,,Mexico,"Av. Floresta No.32, Plaza Elva local 321, Zona Centro, Ensenada, BCCP 22830 ","Av Floresta 321, México, 22830 Ensenada, B.C., Mexico",(646) 176-0604,informacion@derechoshumanosbc.org,,,,,,,
,,,General Crisis,32.5745599,-116.6273292,Comision Nacional de los Derechos Humanos,Tecate,Baja California,Mexico,"Av. Miguel Hidalgo y Costilla No. 139, Zona Centro, Tecate, BCCP 21400 ","Primera, 21400 Tecate, B.C., Mexico",(665) 654-3772 ,informacion@derechoshumanosbc.org,,http://www.derechoshumanosbc.org/content/contacto,,,,,
,,,General Crisis,32.3659041,-117.0455722,Comision Nacional de los Derechos Humanos,Beaches of Rosarito,,Mexico,"Blvd. Alta Tension Esq. Distrito Federal No.16000, Col. Constitución, Rosarito BC ","Constitución (Ampl. Constitución), 22710 Rosarito, B.C., Mexico",(661) 612-6530,informacion@derechoshumanosbc.org,,,,,,,
,,,General Crisis,32.6374877,-115.472358,Comision Nacional de los Derechos Humanos,Mexicali,Baja California,Mexico,"Av. Pioneros No.1198 Esq. Blvd. Anahuac, Civic Center, Mexicali, BCCP 21000 ","Av. de los Pioneros 1198, Centro Cívico, Mexicali, B.C., Mexico",(686) 556-0752,informacion@derechoshumanosbc.org,,http://www.derechoshumanosbc.org/content/contacto,,,,,
,,,General Crisis,30.560029,-115.9415972,Comision Nacional de los Derechos Humanos,San Quintin,,Mexico,"Carret. Transpeninsular Km 190, Fracc. Chavez San Quintin, BC ","México 1, San Quintín, B.C., Mexico",(616) 165-2031,informacion@derechoshumanosbc.org,,,,,,,
,,,General Crisis,32.2886707,-115.1044229,Comision Nacional de los Derechos Humanos,Valley of Mexicali,,Mexico,"Calle Quinta No.479 Int.4, Poblado Guadalupe Victoria Kilometro 43","Guadalupe Victoria, 21720 Guadalupe Victoria, B.C., Mexico",(658) 516-2629,informacion@derechoshumanosbc.org,,,,,,,
,,,General Crisis,31.0250709,-114.8407776,Comision Nacional de los Derechos Humanos,San Felipe,,Mexico,"Av. Mar de Cortez No.183-C, Coastal Zone, San Felipe BC ","San Felipe, Baja California, Mexico",(686) 577-0134,informacion@derechoshumanosbc.org,,http://www.derechoshumanosbc.org/content/contacto,,,,,
,,,General Crisis,,,Comision Nacional de los Derechos Humanos,East Side,,Mexico,"Ruta Ignacio Allende Street, # 2276, Fracc. Mariano Matamoros Deleg. The dam",,(664) 646-9755,informacion@derechoshumanosbc.org,,http://www.derechoshumanosbc.org/content/contacto,,,,,
Founded in 1991,,2018-06-22 Frente Indigena de Organizaciones Binacionales,General Crisis,34.0051238,-118.2736979,Centro de la Coordinación General Binacional,Los Angeles,California,United States,"4318 S. Main St., Los Angeles, California 90037",,(323) 521-1995 ,odiliaromero@fiob.org,,,,,,,
Founded in 1991,,2018-06-22 Frente Indigena de Organizaciones Binacionales,General Crisis,32.4926108,-117.0467954,Centro de la Coordinación General Binacional ,Tijuana,Baja California,México,"Calle Manuel Félix Acosta, Col. Obrera, Tijuana, Baja California",,,,,,,,,,
Founded in 1991,,2018-06-22 Frente Indigena de Organizaciones Binacionales,General Crisis,17.0644793,-96.7266959,Centro de la Coordinación General Binacional ,Juxtlahuaca,Oaxaca,México,"Calle Mariano Matamoros #305, Centro, Juxtlahuaca, Oaxaca, México",,(953) 554-0793,,,,,,,,
Founded in 1946,2014-11-30 Why Obama’s executive action on immigration excluded parents of ‘dreamers’,2018-07-14 Impact of Sessions' asylum move already felt at border,General Crisis,38.898576,-77.031236,American Immigration Lawyers Association (AILA),Washington,D.C.,United States,"1331 G Street, NW Suite 300",,(202)-507-7600,,https://twitter.com/ailanational,http://www.aila.org/,CLINIC,,,,
Founded in 1987,2014-05-07 Report Details Hundreds Of Complaints Against U.S. Border Agents,2018-07-10 U.S. and Mexico discussing a deal that could slash migration at the border,General Crisis,38.898576,-77.031236,American Immigration Council,Washington,D.C.,United States,"1331 G St. NW Suite 200, Washington, DC 20005",,(202) 507-7500,,https://twitter.com/immcouncil,https://americanimmigrationcouncil.org/,CLINIC,,,,
,,,General Crisis,31.681919,-106.377744,"Centro de Derechos Humanos de Migrantes, A.C.",Cd. Juárez,Chihuahua,México,"Calle Neptuno #1855, Col. Satélite, Ciudad Juárez, Chihuaha, C.P 32540",,"(656) 687-2864, (656) 687-0676, (656) 687-0677, (656) 687-2864",coordinacion@cdhmcj.org,,,CLINIC,"Blanca Navarrete García, Diana Rodríguez Sáenz",https://www.researchgate.net/publication/304538960_Directorio_de_Organizaciones_Civiles_que_atienden_a_Migrantes_en_la_Frontera_Norte_de_Mexico,,
Partnership between the Vera Institute of Justice and New America. Vera was established in 1961; ICON launched in June 2018.,,"2018-06-29 We may be able to help reunite immigrant children with parents, nonprofit says",Current Crisis,40.712625,-74.008211,Immigration Connection Project (ICON),New York,New York,United States,"233 Broadway, New York, NY 10279",,800-845-8372,familyconnect@vera.org / familiasunidas@vera.org ,https://twitter.com/verainstitute,https://www.vera.org/projects/immigrant-connection-project,,Anne Marie Mulcahy,,"You can contact ICON in one of the folowing ways:

1. Call toll free from the U.S.: (800) 845-8372
2. From ICE Detention, use the free calling system in your detention facility and dial 621#
3. Email: familyconnect@vera.org OR familiasunidas@vera.org
4. NEW: Call toll free via Facebook from outside of the U.S. by adding https://www.facebook.com/ICON.proj as a friend",
Formed in 2016; address is not shared but reports released in 2017 and 2018 describe BIC as El Paso-Las Cruces based; does not appear to have an address because it's a coalition of organizations and pro bono attorneys,,2018-06-29 Trump admin ran 'pilot program' for separating migrant families in 2017,General,31.76299,-106.48652,Borderland Immigration Council,El Paso and Las Cruces,Texas/New Mexico,United States,,,,borderlandimmigrationcouncil@gmail.com,,https://www.borderlandimmigrationcouncil.org/,,,,,
Involved in major precendential asylum law; provides resources for asylum applicants,https://www.justice.gov/sites/default/files/eoir/legacy/2014/08/26/3811.pdf,https://www.nytimes.com/2018/07/02/us/asylum-court-ruling-detention.html,"Current Crisis, General",37.781166,-122.415844,Center for Gender & Refugee Studies,San Francisco,California,United States,"200 McAllister Street, San Francisco, CA 94102",,(415) 565-4877,cgrs@uchastings.edu,@CGRShastings,https://cgrs.uchastings.edu/,,Blaine Bookey,,,
Initiative launched in 2018 by the Center for Gender and Refugee Studies,,,General,37.781166,-122.415844,Immigrant Women Too,San Francisco,California,United States,"200 McAllister Street, San Francisco, CA 94102",,,krongbrianna@uchastings.edu,,http://www.immigrantwomentoo.org/,, Brianna Krong,,"(This initiative is in response to the Matter of A-B decision, which overruled a precedent for asylum related to DV claims so this initiative is focused on that aspect of asylum law (and other social group claims) - these are the claims many Central Americans who have been separated are making, but the initiative itself isn't directly related to family separation. See op-ed by director Karen Musalo here) ",
,,2018-07-05 Trump Administration Says It Is Working to Reunite Families by Court Deadline,"General, Current",35.678787,-105.94116,Santa Fe Dreamers Project ,Santa Fe,New Mexico,United States,"PO Box 8009, Santa Fe, NM 87504",,(505) 490-2789,info@santafedreamersproject.org,,http://www.santafedreamersproject.org/what-we-do/,,Allegra Love,,,
Founded in  1980,,2018-07-02 'We beg you to help us': Immigrant women in detention describe their treatment and share fears about their children,General,30.255033,-97.719288,Grassroots Leadership,Austin,Texas,United States,"2301 East Cesar Chavez St., Austin, TX 78702",,(512) 499-8111,cmunoz@grassrootsleadership.org,@Grassroots_News,https://grassrootsleadership.org/,,Claudia Muñoz,,,
Founded in 2011,04/07/2013 Searching for the American Dream in Mexico,17/01/2017 Se alían con la UDEM en busca de talentos migrantes,Current crisis,20.990433,-101.148915,"

Dream in México

",León,Guanajuato,México,,,"(213)928
2917 / 477
775 0485","

info@dreaminmexico.org

","

@dreaminmexico

","dreaminmexico.org

",,"

Daniel
Arenas Aguiñaga

",,,
Founded in 2015,,"18/07/2018 ‘New Comienzos’, la luz al final del túnel para los repatriados",Current crisis,19.285931,-98.387903,New Comienzos,Ciudad de México,Ciudad de México,México,,,55-77-33-14-36,info@newcomienzos.org,@NewComienzos,https://www.newcomienzos.org/,,Israel Concha,,,
Founded in 2015,04/10/2014 Los otros ‘dreamers’,"30/06/2018 Museo Amparo, sede de la charla Dreamers",Current crisis,19.430952,-99.143573,Otros Dreamers en Acción,Ciudad de México,Ciudad de México,México,"José María Marroquí 83, Ciudad de Mexic, Mexico 06000",,,odamx2016@gmail.com,@OtrosDreams_ODA,https://www.facebook.com/OtrosDreams/,,Jill Anderson,,,
,,https://www.abqjournal.com/1191464/thousands-attend-families-belong-together-rally-in-abq.html,"Current Crisis, General",,,New Mexico Immigrant Law Center,Albuquerque,New Mexico,United States,"PO Box 7040, Albuquerque, NM 87194",,(505) 247-1023,info@nmilc.org,@NMILC,http://nmilc.org/,,,,,
Vera LOP list,,http://www.boulderweekly.com/news/america-no-more/,"Current Crisis, General",,,Rocky Mountain Immigrant Advocacy Network (RMIAN),Aurora,Colorado,United States,"3489 W. 72nd Ave Suite 211, Westminster CO 80030",,(303) 433-2812,,@RMIAN_org,https://www.rmian.org/,,,,,
,http://www.asianfortunenews.com/2015/03/department-of-justice-provides-legal-aid-to-unaccompanied-child-immigrants/,http://nebula.wsimg.com/6c03b1a88644f63e4202a98fca3ef834?AccessKeyId=AC8950C98B3F9D0B13D0&disposition=0&alloworigin=1,"Current Crisis, general",,,Casa Cornelia Law Center,San Diego,California,United States,"2760 5th Ave STE 200 San Diego, CA ",,(619) 231-7788,lawcenter@casacornelia.org,@CasaCornelia,http://www.casacornelia.org/,,,,,
,,http://time.com/5318102/american-civil-liberties-immigrants-lawyers/,Current Crisis,,,Immigrant Defenders Law Center,Los Angeles,California,United States,"634 S Spring St, 10th Floor, Los Angeles, CA",,(213) 319-7807 family unity project direct line,Familyunity@immdef.org,@immdef,https://www.immdef.org/,,,,,
,,https://www.nytimes.com/2018/07/16/nyregion/migrant-children-reunions.html,"Current Crisis, general",,,"Catholic Charities Community Services/ Catholic Charities Immigration Legal Services, Archdiocese of New York",New York,New York,United States,"80 Maiden Lane, New York, NY",,(212) 419-3700,ICH@archny.org,@CathCharitiesNY,https://catholiccharitiesny.org/find-help/need-help-immigration,,Mario Russell,,,
,http://aldianews.com/articles/local/human-trafficking-povertys-cruel-child/40277,http://www.philly.com/philly/news/ice-children-separated-border-trump-pennsylvania-hias-20180621.html,"Current Crisis, general",,,HIAS Pennsylvania,Philadelphia,Pennsylvania,United States,"2100 Arch St, 3rd Floor, Philadelphia PA 19103",,(215) 832-0900,,@HIASPA,http://hiaspa.org/,,,,,
